iter	RMSE
0	3704.688522
1	3441.050269
2	3199.995696
3	2975.503508
4	2768.053208
5	2574.60328
6	2400.069348
7	2236.240356
8	2084.374059
9	1940.943949
10	1809.00208
11	1683.964859
12	1573.964522
13	1469.173121
14	1370.608425
15	1278.109853
16	1191.95267
17	1112.82934
18	1040.009156
19	974.143343
20	910.6276172
21	854.1653857
22	801.4845996
23	751.8175897
24	708.7043931
25	668.0477912
26	629.9135883
27	593.6631741
28	560.6610472
29	530.3806707
30	503.0282928
31	477.8783872
32	454.1165965
33	433.3839518
34	413.9812408
35	395.9387086
36	379.1684137
37	364.5136346
38	350.3378746
39	337.328041
40	325.623415
41	315.0810302
42	305.4989154
43	297.0737617
44	288.7613214
45	281.465059
46	274.4891223
47	267.3868463
48	261.1873779
49	256.1038372
50	250.360188
51	245.2623175
52	241.4900251
53	237.7000613
54	234.0765985
55	230.5384104
56	226.0236371
57	221.9410894
58	218.8225628
59	215.5101577
60	212.2432815
61	208.9860726
62	205.7815107
63	202.7008798
64	200.1169965
65	197.916039
66	195.6583727
67	193.427247
68	191.6701428
69	189.6001438
70	187.8222586
71	186.3535424
72	184.9876127
73	182.5984617
74	180.8264179
75	178.7155935
76	177.0680068
77	175.5496774
78	173.5470997
79	171.8369448
80	170.817901
81	169.5189016
82	168.2967283
83	167.2366644
84	166.2665182
85	165.3274969
86	163.265418
87	161.6884467
88	160.7417962
89	159.791032
90	158.9959289
91	158.2429882
92	157.4934818
93	156.1225138
94	154.3531034
95	153.5426282
96	152.1641585
97	151.5630283
98	150.5434229
99	149.5233171
100	148.9688508
101	147.8343501
102	146.7929359
103	144.9200128
104	144.1887118
105	143.3493394
106	142.17493
107	141.32037
108	140.7758794
109	140.1849565
110	139.3668904
111	138.8703301
112	138.3982784
113	138.0301941
114	137.4447598
115	137.0480348
116	136.476226
117	135.957881
118	135.6030964
119	134.7510849
120	134.1427709
121	133.7938743
122	133.0209911
123	132.7489342
124	132.3535919
125	131.919068
126	130.8773923
127	130.3718765
128	130.2584052
129	129.7855911
130	129.4369445
131	128.6988695
132	128.2948617
133	127.9892155
134	127.7495398
135	127.3544604
136	126.9980848
137	126.4011209
138	126.0410936
139	125.3749116
140	125.2484405
141	124.8975715
142	124.3981543
143	123.7316578
144	123.2606056
145	122.4209749
146	121.7955221
147	121.5042555
148	121.1218931
149	120.5991917
150	120.1865897
151	120.0376078
152	119.6844043
153	119.1211023
154	118.4721158
155	118.17231
156	118.0673441
157	118.0030936
158	117.8342903
159	117.6161444
160	117.382736
161	117.3268852
162	116.9760011
163	116.3172409
164	116.3013925
165	115.9117281
166	115.7401482
167	115.5734368
168	115.2080038
169	114.7123867
170	114.4662165
171	114.3891364
172	114.1654955
173	113.8748775
174	113.664554
175	113.44909
176	113.1048148
177	112.906436
178	112.6729684
179	112.2209989
180	112.0323735
181	111.885731
182	111.5349732
183	111.5238022
184	111.3609817
185	111.3503686
186	110.9784738
187	110.8367052
188	110.8265201
189	110.4259684
190	110.335358
191	110.2075875
192	110.0267693
193	109.867898
194	109.7457068
195	109.7366311
196	109.3633607
197	109.1430494
198	108.7501527
199	108.3019693
200	108.2938273
201	107.928781
202	107.5880389
203	107.2658888
204	107.0749258
205	106.8670844
206	106.8595691
207	106.6071191
208	106.3472108
209	106.2135621
210	105.8761033
211	105.526445
212	105.2501571
213	104.8104645
214	104.4283001
215	104.2566109
216	103.898452
217	103.6396835
218	103.6328936
219	103.4914606
220	103.3165319
221	103.0585209
222	103.0521246
223	102.9161195
224	102.8118644
225	102.5739605
226	102.3433582
227	102.1910532
228	102.1851663
229	101.9175316
230	101.7258265
231	101.5231743
232	101.3309403
233	101.134981
234	100.8488352
235	100.7325396
236	100.6362103
237	100.500706
238	100.3676041
239	100.2052534
240	99.89813104
241	99.89308067
242	99.76103756
243	99.57892895
244	99.28185586
245	99.15899111
246	98.96214868
247	98.82158955
248	98.59974386
249	98.44698829
250	98.23244168
251	98.018289
252	97.71401561
253	97.54612326
254	97.38550407
255	97.27958596
256	97.1144012
257	97.11009192
258	97.0183988
259	97.01424928
260	96.92072948
261	96.64253112
262	96.5178235
263	96.28116977
264	96.12569078
265	96.12183859
266	95.97956639
267	95.89981336
268	95.68788552
269	95.49892329
270	95.26834578
271	95.26550529
272	95.10964221
273	95.10606272
274	94.96413126
275	94.79791981
276	94.5534333
277	94.44357369
278	94.32495464
279	94.07207757
280	93.98024486
281	93.97683872
282	93.89638581
283	93.73952787
284	93.58891974
285	93.40006783
286	93.21087379
287	93.07181203
288	92.91439027
289	92.91114516
290	92.73911365
291	92.61851298
292	92.53637914
293	92.43499696
294	92.43186203
295	92.33026856
296	92.25513056
297	92.11396767
298	92.11163541
299	91.96945931
300	91.8588828
301	91.72928868
302	91.5335297
303	91.36767312
304	91.2754399
305	91.15753262
306	91.03078521
307	90.85889171
308	90.70361052
309	90.54780423
310	90.446525
311	90.26332462
312	90.09922252
313	89.95416115
314	89.71870363
315	89.59498425
316	89.44852696
317	89.36522254
318	89.27848586
319	89.19104516
320	88.97631158
321	88.86233945
322	88.77465761
323	88.69127081
324	88.50416232
325	88.43122197
326	88.34873007
327	88.34694865
328	88.24425424
329	88.07501911
330	87.99663808
331	87.85335731
332	87.66841885
333	87.5229643
334	87.42232786
335	87.32495196
336	87.17497796
337	87.02760254
338	86.86680644
339	86.70937883
340	86.61059697
341	86.4931632
342	86.36568663
343	86.28021604
344	86.1521317
345	86.06129597
346	85.95366233
347	85.87414485
348	85.80219726
349	85.6943472
